"id","name","url","location","fields","appreciations","views"
"3496345","Lorenz Mager","https://www.behance.net/Lorenz_Mager","Detroit, MI, USA","Jewelry Design,Fashion,Fashion Styling","970","16912"
"128225","DENISE JULIA REYTAN","https://www.behance.net/denise-julia-reytan","Berlin, Germany","Jewelry Design,Sculpting,Product Design","966","13450"
"503252","Julia Rezinsky","https://www.behance.net/juliarez","Katzir, Israel","Crafts,Jewelry Design,Digital Photography","963","14929"
"293960","Miss Buffet Froid","https://www.behance.net/missbuffetfroid","Montpellier, France","Photography,Jewelry Design,Fashion","935","24409"
"106165","Alexandr Svetlovskiy","https://www.behance.net/svetlovskiy","Dniepropetrovsk, Ukraine","Photography,Digital Photography,Jewelry Design","925","8960"
"4076867","Laleh Hakimizadeh","https://www.behance.net/lalehhakimizadeh","Rotterdam, Netherlands","Jewelry Design,Fashion,Typography","919","8777"
"1201155","Sklyar Sergey","https://www.behance.net/sweetpug","Kiev, Ukraine","Jewelry Design,Graphic Design,Sculpting","912","6807"
"146607","Lina Liniyka","https://www.behance.net/LinaLiniyka","Kiev, Ukraine","Jewelry Design,Glass Blowing,Crafts","903","7309"
"59359","Helena Aleixo","https://www.behance.net/HelenaAleixoGlamour","Leiria, Portugal","Crafts,Jewelry Design,Fashion","882","34454"
"88153","Alissia Melka-Teichroew","https://www.behance.net/alissiamt","New York, NY, USA","Fashion,Design,Jewelry Design","880","28167"
"251196","A. Loobeensky","https://www.behance.net/loobeensky","Warsaw, Poland","Crafts,Jewelry Design,Photography","863","8226"
"3452621","Jon Marchione","https://www.behance.net/jonmarchione","Baltimore, MD, USA","Illustration,Cartooning,Jewelry Design","837","4282"
"2341541","Kostas Kyrsanidis","https://www.behance.net/3Dreamer","London, United Kingdom","Jewelry Design,Architecture,Furniture Design","821","10831"
"4460267","Alexey Cherkasov","https://www.behance.net/mayakdesign","Saint Petersburg, Russian Federation","Jewelry Design,Fashion,Crafts","784","6775"
"71873","Myan Duong","https://www.behance.net/mduong","Austin, TX, USA","Graphic Design,Creative Direction,Jewelry Design","775","23515"
"12814785","Bogdan Novakovic","https://www.behance.net/BogdanNovakovic","Belgrade, Serbia","Packaging,Jewelry Design,Industrial Design","769","5273"
"359037","clio stasinou","https://www.behance.net/cliostasinou","Athens, Greece","Photography,Fashion,Architecture,Jewelry Design","745","2283"
"7800617","Miren Tello de Gandiaga","https://www.behance.net/mirentellodegandiaga","León, Mexico","Crafts,Jewelry Design,Product Design","738","9165"
"11239695","Maria Merkel","https://www.behance.net/grew","Warsaw, Poland","Crafts,Art Direction,Jewelry Design","736","1730"
"3498141","Jacqueline Lung","https://www.behance.net/JLung","San Francisco, CA, USA","Jewelry Design,Industrial Design,Drawing","696","11449"
"7974723","Nadia Ambroziak","https://www.behance.net/CeramicsN","Ivano-Frankivsk, Ukraine","Jewelry Design","696","4380"
"2301909","Devi Petti","https://www.behance.net/DeviPetti","Rome, Italy","Jewelry Design,Photography,Crafts","678","9409"
"1171569","Megan Dattoria","https://www.behance.net/MegDattoria","Baltimore, MD, USA","Jewelry Design,Toy Design,Product Design","673","39552"
"132310","Vlad Icobet","https://www.behance.net/Vlad_Icobet","Teruel, Spain","Industrial Design,Product Design,Jewelry Design","669","8960"
"1472719","Amy Lawrence","https://www.behance.net/amylawrencedesigns","Ramsbottom, United Kingdom","Textile Design,Jewelry Design,Fashion","644","33684"
"5151769","Clément Cordier-Sinibaldi","https://www.behance.net/Clement-sinibaldi","Toulon, France","Industrial Design,Jewelry Design,Editorial Design","642","11264"
"1512335","Colin Williams","https://www.behance.net/colinwilliams","Providence, RI, USA","Industrial Design,Product Design,Jewelry Design","638","13319"
"300651","Dylan Lawson","https://www.behance.net/djl","Sydney, Australia","Jewelry Design,Design,Fashion","633","17373"
"1608967","Stephanie Taugner","https://www.behance.net/rainingblue","Indianapolis, IN, USA","Fashion,Jewelry Design,Painting","630","9029"
"1845461","Morgan Le Mage","https://www.behance.net/rousig","Paris, France","Jewelry Design,Crafts,Fashion","627","7002"
"580533","Jochen Leën","https://www.behance.net/jochenleen","Lanaken, Belgium","Jewelry Design,Architecture,Fashion Styling","622","11110"
"3426489","NAM .","https://www.behance.net/tkdska823","Seoul, Korea, Republic of","Crafts,Jewelry Design,Product Design","618","8512"
"270369","Alexander Tyvodar","https://www.behance.net/tivodar","Poland","Jewelry Design,Art Direction,Sculpting","616","7438"
"710094","Katla Maríudóttir","https://www.behance.net/katlamar","Stockholm, Sweden","Product Design,Jewelry Design,Illustration","614","6851"
"303152","Nacho Riesco Gostanza","https://www.behance.net/nachoriesco","Ribadeo, Spain","Digital Art,Sculpting,Jewelry Design","612","9253"
"5313553","Andrea Hieber","https://www.behance.net/AndyHieber","Huixquilucan de Degollado, Mexico","Fine Arts,Drawing,Jewelry Design","592","4201"
"2092111","Sonja Iglič","https://www.behance.net/SonjaIgl","Belgrade, Serbia","Jewelry Design,Fashion,Fashion Styling","578","6986"
"252864","Sandra Laskowska","https://www.behance.net/wszechprojekt","Warsaw, Poland","Jewelry Design,Architecture,Furniture Design","576","7992"
"664614","Workshop Arkipelagus","https://www.behance.net/shouwenzi","Guangzhou, China","Crafts,Jewelry Design,Fashion","574","7908"
"308015","Suzana zur Nedden","https://www.behance.net/suzinedden","Innsbruck, Austria","Industrial Design,Graphic Design,Jewelry Design","571","9756"
"2075411","Caroline Pruet","https://www.behance.net/CarolinePruet","Savannah, GA, USA","Jewelry Design,Drawing,Painting","560","8563"
"2613837","Merve Ozaslan","https://www.behance.net/merveozaslan","Istanbul, Turkey","Jewelry Design,Digital Art","555","8092"
"14101447","Elli Karmoiri","https://www.behance.net/ElliKarmoiri","Athens, Greece","Graphic Design,Product Design,Jewelry Design","552","2337"
"893443","Aimee Petkus","https://www.behance.net/aimeepetkus","Savannah, GA, USA","Jewelry Design,Fashion,Fine Arts","546","12154"
"867127","Marilena Karagkiozi","https://www.behance.net/marilenaKara","Parma, Italy","Jewelry Design,Crafts,Fashion","545","7364"
"126508","barış özyurt","https://www.behance.net/barisirad","Eskişehir, Turkey","Illustration,Sculpting,Jewelry Design","541","2701"
"2343373","maria karkantzou","https://www.behance.net/maria_karkantzou","Athens, Greece","Jewelry Design,Graphic Design,Product Design","537","5775"
"1654941","Anna Winnhed","https://www.behance.net/darkeyes","Borlänge, Sweden","Jewelry Design,Fashion,Fashion Styling","535","4238"
"1108383","Vanessa Xavier","https://www.behance.net/vanessaxavier","Vitória, Brazil","Painting,Jewelry Design,Fine Arts","530","2643"
"4585197","Martina Nadal","https://www.behance.net/martinanadal","Barcelona, Spain","Product Design,Jewelry Design,Art Direction","529","7150"
"166328","Adam Bartl","https://www.behance.net/bartl","Sao Paulo, Brazil","Jewelry Design,Metal Working,Wood Working","526","18426"
"23797145","Украшения ручной работы ))","https://www.behance.net/Julia_Julia","Odesa, Ukraine","Jewelry Design,Fashion","522","1964"
"12906653","dmitriy pavlov","https://www.behance.net/jh_pavlovc096","Кострома, Russian Federation","Jewelry Design,Branding,Illustration","497","2446"
